Class,Value,Description
4,Jerry Lucey, Jerry Lucey (born 1944 in Ballyvourney County Cork) is an Irish former sportsperson. He played Gaelic football with his local club Naomh Abán and was a member of the Cork senior inter-county team in the 1960s.
4,Bernd Baumgart, Bernd Baumgart (born July 3 1955) is a German rower who competed for East Germany in the 1976 Summer Olympics.He was born in Wittenberg.In 1976 he was a crew member of the East German boat which won the gold medal in the eights event.
4,Ömer Kaner, Ömer Kaner (born 21 May 1951 in Istanbul) is a Turkish football coach and former player. He played at Eskişehirspor Fenerbahçe and Karagümrük as a striker.He is currently been head coach of Turkey national futsal team. He played coached and managed of Fenerbahçe SK.
4,Mikhail Gremyatskiy, Mikhail Valeryevich Gremyatskiy (Russian: Михаил Валерьевич Гремяцкий; born January 9 1968) is a retired Russian professional footballer.He played for the FC Lokomotiv Moscow in the USSR Federation Cup.
4,Billy Lansdowne, William Billy Lansdowne Jr. (born 28 April 1959) is an English former professional footballer who played as a striker. Active in both England and Sweden Lansdowne scored 45 goals in 169 career league games.
5,Lewis Joseph Valentine, Lewis Joseph Valentine (March 19 1882 - December 16 1946) was the New York City Police Commissioner from 1934 to 1945 under Mayor Fiorello H. LaGuardia during the Murder Inc. era. He was the author of an autobiography Night stick: The autobiography of Lewis J. Valentine. He was Police Commissioner of New York for eleven years longer than any other previous person in that position.
5,Ichirō Ozawa, Ichirō Ozawa (小沢 一郎 Ozawa Ichirō born 24 May 1942) is a Japanese politician and has been a member of the House of Representatives since 1969 representing the Iwate 4th district (Iwate 2nd district prior to the 1996 general election). He is often dubbed the Shadow Shogun due to his back-room influence.He was initially a member of the Liberal Democratic Party (LDP) serving as its secretary general from 1989 to 1991.
5,Bradford William LePage, Bradford William LePage (February 19 1876 - December 4 1958) was a Canadian politician and the 15th Lieutenant Governor of Prince Edward Island.Born in Rusticoville Prince Edward Island LePage owned and operated a general store prior to entering politics. He and his family moved to Charlottetown after his election to the provincial legislature.
5,Kenneth P. Moritsugu, Kenneth P. Moritsugu (born March 5 1945) is an American physician and public health administrator.Rear Admiral USPHS retired in September 2007 as acting United States Surgeon General. A third-generation Japanese-American he was appointed the Deputy Surgeon General on October 1 1998 and named acting Surgeon General on July 31 2006.RADM Moritsugu received his bachelor's degree in 1967 from the University of Hawaii his M.D.
5,Dan Flynn (politician), Dan Flynn (born February 21 1943) is a businessman and rancher from Van Texas who has been since 2003 a Republican member of the Texas House of Representatives from District 2 (Rains Hunt and Van Zandt counties).
5,William Faunce, William Herbert Perry Faunce (January 15 1859 – January 31 1930) was an American clergyman educator and the son of Daniel Faunce born at Worcester Massachusetts. He graduated in 1880 at Brown University (where he then taught mathematics for a year) and at 1884 at Newton Theological Seminary and from 1884 to 1889 was pastor of the State Street Baptist Church of Springfield Massachusetts.
5,Mike Nelson (Minnesota politician), Michael V. Mike Nelson (born June 2 1954) is a Minnesota politician and member of the Minnesota House of Representatives. A member of the Minnesota Democratic–Farmer–Labor Party (DFL) he represents District 40A which includes Hennepin County in the Twin Cities metropolitan area. He is a carpenter by profession.
5,Sydney Herbert Thompson, Sydney Herbert Stewart Thompson (September 23 1920 – November 26 1997) was a merchant and served as a Social Credit Party of Canada Member of Parliament from 1957 to 1958.Thompson first ran for a seat in the Canadian House of Commons for the 1957 Canadian federal election. He defeated incumbent Richmond Francis Hanna to win the Edmonton—Strathcona electoral district. Thompson was defeated a year later by Terry Nugent in the 1958 federal election.
5,José Fernando Bautista Quintero, José Fernando Bautista Quintero is a Colombian lawyer and politician. Bautista was appointed Ambassador of Colombia to Venezuela by President Juan Manuel Santos Calderón to mend relations with the administration of President Hugo Chávez Frías after the 2010 Colombia–Venezuela diplomatic crisis that had driven the two neighbouring nations to the brink of armed conflict.
5,Félix Sabal Lecco (politician), Félix Sabal Lecco (1920 - 23 October 2010) was a teacher politician and diplomat representing Cameroon.His son also called Félix Sabal Lecco is a well-known drummer.Two other sons Armand and Roger both became bass players.
5,Ildikó Lendvai, Ildikó Lendvai is a Hungarian politician the leader of the Hungarian Socialist Party (MSZP) between 5 April 2009 and 10 July 2010.
6,Italair Pegaso, The Italair F.20 Pegaso was a twin-engine utility aircraft designed by Stelio Frati and built in Italy in 1971.
6,Cessna 140, The Cessna 120 Cessna 140 and the Cessna 140A are single-engine two-seat conventional landing gear (tailwheel) light general aviation aircraft that were first produced in 1946 immediately following the end of World War II. Production ended in 1951 and was succeeded in 1959 by the Cessna 150 a similar two-seat trainer which introduced tricycle gear. Combined production of both aircraft was 7664 units in five years.
6,Bell ARH-70 Arapaho, The Bell ARH-70 Arapaho is a four-bladed single-engine light military helicopter designed for the United States Army's Armed Reconnaissance Helicopter (ARH) program. With a crew of two and optimized for urban combat the ARH-70 was slated to replace the Army's aging OH-58D Kiowa Warrior. Excessive delays and growth in program costs forced its cancellation on 16 October 2008 when the Department of Defense failed to certify the program to Congress.
6,Northwest Ranger, The Northwest Ranger was a Canadian bush aircraft that was under development by Northwest Industries (NWI) of Edmonton Alberta between 1968-1972. The aircraft was a type certified design and intended to be supplied as a complete ready-to-fly-aircraft.
6,German submarine U-266, German submarine U-266 was a Type VIIC U-boat of Nazi Germany's Kriegsmarine during World War II. The submarine was laid down on 1 August 1941 at Bremer-Vulkan-Vegesacker Werft in Bremen as yard number 31. She was launched on 11 May 1942 and commissioned on 24 June under the command of Oberleutnant zur See Hannes Leinemann.In two patrols she sank four ships of 16089 GRT. She was a member of five wolf packs.She was sunk in May 1943 in mid-Atlantic by a British aircraft.
6,Concorde, Aérospatiale-BAC Concorde /ˈkɒŋkɔrd/ is a retired turbojet-powered supersonic passenger airliner or supersonic transport (SST). It is one of only two SSTs to have entered commercial service; the other was the Tupolev Tu-144. Concorde was jointly developed and produced by Aérospatiale and the British Aircraft Corporation (BAC) under an Anglo-French treaty.
6,Midland Railway 156 Class, The Midland Railway 156 Class was a class of 2-4-0 tender engines built at Derby Works between 1866–1874. In total 29 of the class were built under the Midland Railway and 21 survived to become part of the London Midland and Scottish Railway (LMS) fleet of engines in 1923. By then they were reduced to the humblest of roles. The LMS recognised the significance of the class and number 156 itself was ear-marked for preservation but the decision was over turned and the engine scrapped in 1932.
6,USS Richard E. Kraus (DD-849), USS Richard E. Kraus (DD-849/AG-151) was a Gearing-class destroyer of the United States Navy named for Marine Private First Class Richard E. Kraus (1925–1944) who was awarded the Medal of Honor posthumously for his conspicuous gallantry during the Battle of Peleliu.Richard E. Kraus was laid down by Bath Iron Works Bath Maine on 31 July 1945; launched on 2 March 1946; sponsored by Mrs. Edwin Olsen; and commissioned at the Boston Naval Shipyard on 23 May 1946 Commander R. J.
6,French ship Entreprenant (1787), Entreprenant was a Téméraire class 74-gun ship of the line of the French Navy.In December 1792 she assisted the Languedoc. She was taken by the British when they captured Toulon but was recaptured. In 1793 she ferried prisoners suspected of anti-revolutionary sympathies from Toulon to Rochefort after Toulon was taken by the British.She took part in the Glorious First of June and in the Croisière du Grand Hiver.
6,Oldsmobile O4, The Oldsmobile O4 was a front-wheel drive concept car designed by the Oldsmobile division of General Motors in 2001. The O4 was a 2+2 roadster that was aimed at a younger demographic. The O4 displayed features that would have been included on the next generation Oldsmobile Alero had it not been cancelled.
6,A Vlaicu II, The A Vlaicu II was the second powered airplane designed and built by Aurel Vlaicu.
7,Cheng Nan-jung Liberty Museum, The Cheng Nan-jung Liberty Museum (Chinese: 鄭南榕自由紀念館; pinyin: Zhèngnánróng Zìyóu Jìniànguǎn) is a museum in Songshan District Taipei Taiwan. The museum is dedicated to the pro-democracy activist Cheng Nan-jung.
7,Cottonwood County Courthouse, The Cottonwood County Courthouse is a governmental building of Cottonwood County Minnesota United States. It is located at 900 3rd Avenue in the county seat of Windom. It was designed by architects Omeyer and Thori and was built in 1904. It was added to the National Register of Historic Places on April 18 1977.
7,Franzensburg, Franzensburg is a castle in Laxenburg Lower Austria Austria.
7,Rad Slavin cis. 112 Z.C.B.J. Hall, The Rad Slavin cis. 112 Z.C.B.J. Hall also known as National Hall is a building in Comstock Nebraska United States that was built in 1909. It was listed on the National Register of Historic Places on November 12 1992. It historically served as a meeting hall for the Czech community.
7,The Rosebud (diner), The Rosebud is a historic diner at 381 Summer Street in Somerville Massachusetts near Davis Square.The diner was built in 1941 by the Worcester Lunch Car Company for the Nichols family. The diner was added to the National Register of Historic Places in 1999.In 2013 after 40 years of the family's ownership Evangelos Nichols sold the Rosebud to Martin Bloom.
7,Church of St Mary Cannington, The Church of St Mary is the parish church of Cannington Somerset England.
7,St John of God Subiaco Hospital, St John of God Subiaco Hospital is a division of St John of God Health Care one of the largest providers of health care services in Australia.Founded in 1898 Subiaco Hospital is the oldest surviving St John of God Health Care hospital in Australia and the first permanent facility established by the Congregation of the Sisters of St John of God.A major rebuilding occurred at the hospital site in 1981
7,King George V Memorial Hospital, The King George V Memorial Hospital for Mothers and Babies is a former hospital exclusively for mothers located near the Royal Prince Alfred Hospital in Sydney Australia located on Missenden Road in Camperdown. It operated from 1941 until its almalgamation into the Royal Prince Alfred Hospital on 14 November 2002.
7,United States Post Office (Morrisania Bronx), US Post Office-Morrisania originally Station T is a historic post office building located at Morrisania in The Bronx New York United States. It was built in 1936 and designed by consulting architect William Dewey Foster for the Office of the Supervising Architect. The building is a two story five bay wide brick building with a hipped roof and a one bay recessed wing in the Colonial Revival style.
7,Samuel G. Reed House, The Samuel G. Reed House is a house located in southwest Portland Oregon listed on the National Register of Historic Places.
7,Chilehaus, The Chilehaus (Chile House) is a ten-story office building in Hamburg Germany. It is located in the Kontorhausviertel. It is an exceptional example of the 1920s Brick Expressionism style of architecture. This large angular building is located on a site of approximately 6000m² spanning the Fischertwiete Street in Hamburg. It was designed by the German archtiect Fritz Höger and finished in 1924.
8,Kleine Triebisch, Kleine Triebisch is a river of Saxony Germany.
8,Khari River, Khari River is a river in western India in Gujarat whose origin is Near Matana Madh village. Its basin has a maximum length of 50 km. The total catchment area of the basin is 113 square kilometres (44 sq mi).
8,Stutfield Peak, Stutfield Peak is a mountain in Jasper National Park Alberta Canada. It is located at the northern end of the Columbia Icefield 6 kilometres (3.7 mi) north-west from Mount Kitchener in the Winston Churchill Range of the Canadian Rockies.In 1899 mountaineer J.
8,Popa Nica River, The Popa Nica River is a tributary of the main branch of the Danube-Black Sea Canal in Romania.
8,Back River (Tamworth), Back River a perennial stream of the Manning River catchment is located in the Northern Tablelands region of New South Wales Australia.
8,Midford Brook, Midford Brook is a small river in Somerset England.It is formed by convergence of the Wellow Brook and Cam Brook at Midford before passing Tucking Mill and joining the River Avon close to the Dundas Aqueduct and the remains of the Somerset Coal Canal.It has a catchment area of 147.4 km2 which is largely over impermeable Lias. The deep steep sided valleys means that it responds rapidly to rainfall.
8,Mount Mariveles, Mount Mariveles is a dormant volcano located in the province of Bataan in the Philippines. Mt. Mariveles and the adjacent Mount Natib comprise 80.9 percent of the total land area of the province. The mountain and adjacent cones lie opposite the city of Manila across Manila Bay providing a beautiful setting for the sunsets seen from Manila.
8,Lake Matapédia, Lake Matapédia is a body of water in Quebec Canada and is the source of the Matapédia River. The town of Amqui lies at the southeast corner of the lake.
8,Mount Kurobegorō, Mount Kurobegorō (黒部五郎岳 Kurobegorō-dake) is one of the 100 Famous Japanese Mountains reaching the height of 2839.58 m (9316 ft). It is situated in Japan's Hida Mountains in Gifu Prefecture and Toyama Prefecture. It was specified for Chūbu-Sangaku National Park on December 4 1934.
8,Pintado River, The Pintado River is a river of Goiás state in central Brazil.
8,Złota (river), Złota is a river of Poland a tributary of the San which it meets in the south-eastern village of Kuryłówka.
9,Ali Hallaj, Ali Hallaj (Persian: علي حلاج‎ also Romanized as ‘Alī Ḩallāj) is a village in Shahidabad Rural District Avaj District Buin Zahra County Qazvin Province Iran. At the 2006 census its existence was noted but its population was not reported.
9,Jahadi, Jahadi is a village development committee in Kapilvastu District in the Lumbini Zone of southern Nepal. At the time of the 1991 Nepal census it had a population of 4324 people living in 708 individual households.
9,Porgoli-ye Olya, Porgoli-ye Olya (Persian: پرگلي عليا‎ also Romanized as Porgolī-ye ‘Olyā; also known as Palkūlī) is a village in Jalalvand Rural District Firuzabad District Kermanshah County Kermanshah Province Iran. At the 2006 census its population was 101 in 21 families.
9,Konaklı Bozdoğan, Konaklı is a village in the District of Bozdoğan Aydın Province Turkey. As of 2010 it had a population of 340 people.
9,Pasterzowice, Pasterzowice [pastɛʐɔˈvit͡sɛ] is a village in the administrative district of Gmina Szprotawa within Żagań County Lubusz Voivodeship in western Poland. It lies approximately 5 kilometres (3 mi) east of Szprotawa 18 km (11 mi) east of Żagań and 40 km (25 mi) south of Zielona Góra.Before 1945 the area was part of Germany (see Territorial changes of Poland after World War II).
9,Krynice Podlaskie Voivodeship, Krynice [krɨˈnit͡sɛ] is a village in the administrative district of Gmina Dobrzyniewo Duże within Białystok County Podlaskie Voivodeship in north-eastern Poland. It lies approximately 4 kilometres (2 mi) north of Dobrzyniewo Duże and 16 km (10 mi) north-west of the regional capital Białystok.The village has a population of 320.Location of the RTCN Białystok (Krynice) mast the seventh highest structure in Poland.
9,Mount Cory Ohio, Mount Cory is a village in Hancock County Ohio United States. The population was 204 at the 2010 census.
9,Shahrud Hormozgan, Shahrud (Persian: شاهرود‎ also Romanized as Shāhrūd and Shahrood; also known as Shāhrūd-e Fāreghān) is a village in Fareghan Rural District Fareghan District Hajjiabad County Hormozgan Province Iran. At the 2006 census its population was 494 in 105 families.
9,Krokšlys, Krokšlys is a village in Kaniavos eldership (lt) Varėna district municipality Alytus County southeastern Lithuania. According to the 2001 census the village had a population of 78 people. As of the 2011 Census the population was 50.
9,Malta Ohio, Malta is a village in Morgan County Ohio United States. The population was 671 at the 2010 census.
9,Kiên Lao, Kiên Lao is a commune (xã) and village in Lục Ngạn District Bắc Giang Province in northeastern Vietnam.
10,Mordella homochroa, Mordella homochroa is a species of beetle in the Mordella genus that is in the Mordellidae family which is a part of the Tenebrionoidea superfamily. It was discovered in 1895.
10,Diplochaetus, Diplochaetus is a genus of beetles in the family Carabidae containing the following species: Diplochaetus emaciatus (Bates 1891) Diplochaetus megacephalus Bousquet & Laplante 1997 Diplochaetus planatus (G.Horn 1876) Diplochaetus rutilus (Chevrolat 1963)↑
10,Anthela denticulata, Anthela denticulata is a moth of the Anthelidae family. It is found in Australia.
10,Dolphin, Dolphins are cetacean mammals closely related to whales and porpoises. There are almost forty species of dolphin in 17 genera. They vary in size from 1.2 m (4 ft) and 40 kg (90 lb) (Maui's dolphin) up to 9.5 m (30 ft) and 10 tonnes (9.8 long tons; 11 short tons) (the orca or killer whale). They are found worldwide mostly in the shallower seas of the continental shelves and are carnivores eating mostly fish and squid.
10,Labeo brachypoma, Labeo brachypoma is fish in genus Labeo.
10,Chondrosoma, Chondrosoma is a genus of moth in the family Geometridae.
10,Thalleulia ochreorufa, Thalleulia ochreorufa is a species of moth of the Tortricidae family. It is found in Ecuador (Loja Province).The wingspan is 21 mm. The ground colour of the forewings is cream ferruginous in the basal half and in the apical third mixed with chestnut brown but browner at the wing base. The hindwings are cream slightly mixed with pale orange in the apical area.
10,Paracalliopiidae, Paracalliopiidae is a family of amphipods containing the following genera:Doowia Barnard & Drummond 1987Indocalliope Barnard & Karaman 1982Katacalliope Barnard & Drummond 1984Paracalliope Stebbing 1899Yhi Barnard & Thomas 1991↑ ↑
10,Gigantodax, Gigantodax is a genus of 68 species of black flies distributed along the Andes from Mexico to Tierra del Fuego in Argentina.The taxonomy of the genus was revised in 1989 by an academic paper published in the bulletin of the American Museum of Natural History. In 1997 researchers from the Universidad Nacional del Comahue in Rio Negro Argentina collected larvae of G. marginalis and other fly species in Lanin National Park Neuquén Province.
10,Steatoda nobilis, Steatoda nobilis is a spider in the genus Steatoda known in the United Kingdom as the noble false widow and often referred to as the false widow. As the common name indicates the spider superficially resembles and is frequently confused for the black widow and other spiders in the genus Latrodectus which can have medically significant venom.
10,Catostomidae, The Catostomidae are the suckers of the order Cypriniformes with 80 species in this family of freshwater fishes. The Catostomidae are found in North America east central China and eastern Siberia. They are not usually fished recreationally; they are not highly prized in North America for their flesh although they are a fairly popular target with spear fisherman and in some areas such as the Ozarks they are a common food fish.
11,Bulbophyllum erosipetalum, Bulbophyllum erosipetalum is a species of orchid in the genus Bulbophyllum.
11,Zanonia, Zanonia is a monotypic genus in the flowering plant family Cucurbitaceae (the cucumber squash and pumpkin family).The only species is Zanonia indica a medium-sized liana found in the Indian Subcontinent and Southeast Asia east to New Guinea. It has a number of subspecies.
11,Maxillaria, Maxillaria abbreviated as Max in horticultural trade is a large genus of orchids (family Orchidaceae). This is a diverse genus with very different morphological forms. Their characteristics can vary widely.They are commonly called Spider Orchid Flame Orchid or Tiger Orchid.
11,Epidendrum armeniacum, Epidendrum armeniacum (the Apricot Epidendrum) is an epiphytic species of reed-stemmed Epidendrum orchid that grows wild in Bolivia (including Cochabamba and La Paz) Brazil Ecuador and Peru at altitudes of 1—2 km.
11,King Edward potato, King Edward potatoes like the majority of European and North American potato varieties are derivatives of the 'Rough Purple Chili' which was used as breeding stock after the 1840s Irish potato famine. The King Edward potato is one of the oldest of these varieties.
11,Baeometra, Baeometra is a monotypic genus in the family Colchicaceae. It is native to South Africa where it is commonly called beetle lily due to the dark markings on the tepals. The only species was described as Baeometra columellaris by the British botanist Salisbury in 1812 but had actually been discovered described and painted already 1793 by the Austrian botanist Jacquin as Melanthium uniflorum.
11,Vateria, Vateria is a genus of plant in family Dipterocarpaceae. It contains the following species (but this list may be incomplete): Vateria acuminata Hayne Vateria copallifera (Retz.) Alston Vateria indica Linn Vateria macrocarpa B.L. Gupta
11,Euphorbia purpurea, Euphorbia purpurea is a species of euphorb known by the common names Darlington's glade spurge glade spurge and purple spurge. It is native to the eastern United States where it occurs from Ohio and Pennsylvania south to North Carolina. It has been extirpated from Alabama; it was believed lost from Delaware until a population was rediscovered in 1997.This perennial herb grows from a rhizome and reaches a maximum height around one meter.
11,Pseudobahia bahiifolia, Pseudobahia bahiifolia is a rare species of flowering plant in the aster family known by the common name Hartweg's golden sunburst.
11,Trimerophytopsida, Trimerophytopsida (or Trimeropsida) is a class of early vascular plants from the Devonian informally called trimerophytes. It contains genera such as Psilophyton. This group is probably paraphyletic and is believed to be the ancestral group from which both the ferns and seed plants evolved. Different authors have treated the group at different taxonomic ranks using the names Trimerophyta Trimerophytophyta Trimerophytina Trimerophytophytina and Trimerophytales.
11,Kalanchoe fadeniorum, Kalanchoe fadeniorum is a species of Kalanchoe in the family Crassulaceae.
12,What's New!!!, What's New!!! (subtitled Sonny Stitt Plays the Varitone) is an album by saxophonist Sonny Stitt recorded in 1966 and released on the Roulette label. The album represents Stitt's first recorded use of the varitone an electronic amplification device which altered the saxophone's sound.
12,The Lonesome Boatman, The Lonesome Boatman is a 1969 album by the Irish folk music duo Finbar & Eddie Furey. It is best known for its title track which is played hauntingly on a tin whistle as well as its version of the traditional ballad Carnlough Bay.In recent times the song has featured at football matches most notably performed by fans of Glasgow team Celtic FC.
