Class,Value,Description
1,Calla Records, Calla Records was a small New York City-based independent black owned Soul record label run by Nate McCalla and active c. 1965 to 1977.McCalla was an associate and bodyguard for Morris Levy who headed Roulette Records which had known ties to the mob.Artists recording for the label include J.J. Jackson The Sandpebbles Little Jerry Williams (aka Swamp Dogg) Jean Wells The Emotions The Fuzz Lonnie Youngblood The Persuaders and Geraldine Hunt among others.
1,Rajshri Media, Rajshri Media (P) Limited is a digital entertainment and new media arm of Rajshri Group. The Rashri.com portal was launched on November 2006 by releasing online Barjatya-produced Hindi movie Vivah followed by Hattrick Life in a Metro and Blue Umbrella among others. The company plans to reach its audience through all the four screens: Cinema PC Mobile TV.
1,VirtualSharp Software, VirtualSharp Software Corporation is a company that provides Disaster Recovery automation for virtualized environments and private clouds. VirtualSharp has pioneered the concept of DR Assurance which consists in setting recovery policies for individual applications in a datacenters and driving into the infrastructure the responsibility for policy enforcement without human intervention. VirtualSharp ReliableDR is its flagship product.
1,Disney Comics, Disney Comics was a comic book publishing company operated by The Walt Disney Company which ran from 1990 to 1993. It was connected with W. D. Publications Inc. which was a subsidiary of The Walt Disney Company that published Disney Comics during that time span. W. D. Publications Inc. created Disney Comics in 1990 so that The Walt Disney Company would not have to rely on outside publishers such as Gladstone Publishing.
1,Wood Mackenzie, Wood Mackenzie is a global energy metals and mining research and consultancy group with an international reputation for supplying comprehensive data written analysis and consultancy advice.It is based in Edinburgh Scotland though it has over 25 offices worldwide. The company's energy business was founded in 1973 when they started reviewing the North Sea oilfields.
1,Haas Wheat & Partners, Haas Wheat & Partners is a private equity firm focused on leveraged buyout transactions. The firm targets specialty middle-market manufacturing distribution and service companies particularly family-controlled companies and corporate spin-outs.The firm is based in Dallas Texas and was founded in 1992.
1,Rubin Design Bureau, Rubin Central Design Bureau for Marine Engineering (Russian: ???Ê?´•?•??¯?Ø•??´???Ê ?ß???´•Å•?•?•ü?ß•???•?•Å?ß???Ê ?Ò•?•??? ?ˇ•ü?Ò???´ shortened to ?????? ?ˇ•ü?Ò???´) in Saint Petersburg is one of three main Russian centers of submarine design and the other two are Malakhit Central Design Bureau and Lazurit Central Design Bureau (Lazurit is the Russian word for lazurite).
1,Cockerill Maintenance & Ing??nierie, Cockerill Maintenance & Ing??nierie (CMI) is a mechanical engineering group headquartered in Seraing Belgium producing machinery for steel plants industrial heat recovery equipment and boiler and shunting locomotives and military equipment (artillery guns).
1,Barnegat Fund Management, Barnegat Fund Management Inc is a hedge fund management company based in Hoboken New Jersey which manages the Barnegat Fund a fixed-income relative-value hedge fund. The fund exploits interest-rate anomalies in large financial markets. The financial instruments traded include government bonds interest-rate swaps and futures contracts.
1,Mater Health Services, Mater Health Services is a public and private collocated hospital and health care provider located in and around the corner of Stanley Street and Annerley Road South Brisbane Queensland. Australia. Mater Health Services provides care for some 500000 patients each year. The Mater was established in 1906 by the Sisters of Mercy.
1,Jetta (electronics company), Jetta International is an American original equipment manufacturer (OEM) and designer of computer laptops mainly operating in the East Coast. The company was established in 1991 and is based in Monmouth Junction New Jersey (close to Princeton) where its only manufacturing plant is located.Jetbook the laptop series manufactured by Jetta has Intel microprocessors and is supplied with a customizable selection of software.
1,SYBO Games, SYBO Games is an independent game development studio located in Copenhagen Denmark. They are known for developing the game application Subway Surfers together with Kiloo. The game is by far the most played game ever created in Denmark. The game was created in Unity (game engine) and is about a graffiti boy escaping a grumpy security guard.One week after the release of Subway Surfers the freemium running game for iOS had three million downloads and was the most downloaded game in 20 countries.
1,Tesco, Tesco PLC is a British multinational grocery and general merchandise retailer headquartered in Cheshunt Hertfordshire England United Kingdom. It is the second-largest retailer in the world measured by profits (after Wal-Mart) and second-largest retailer in the world measured by revenues (after Walmart).
1,Elan Snowboards, Elan Snowboards is a member of Slovenian ski company Elan Group and is one of the world's largest producer of high-end snowboards and produces boards since 1987. While the company headquarters with the rest of Elan Group is located in Begunje in north-western part of Slovenia the production of snowboards takes place in the neighboring country - in Furnitz Austria.
1,Rice Is Nice (record label), Rice Is Nice is an independent record label based in Sydney Australia that takes its name from Welsh post-hardcore band Mclusky's 2000 single Rice Is Nice. The label aims to promote local musicians that are unique and whose music will have longevity rather than based on popularity.
1,BUF Compagnie, BUF Compagnie is a French visual effects company specializing in CGI for feature films commercials and music videos.
1,TitanFile, TitanFile Inc. is a Canadian company headquartered in Halifax Nova Scotia and with offices in Waterloo Ontario. TitanFile is an online file sharing and collaboration service.
1,Mission Motors, Mission Motors is an American company founded in 2007 in San Francisco California. The company was originally founded with the aim of creating high-performance electric motorcycles but later became a supplier of electric vehicle components.
1,Boyner, Boyner B?¨y?¨k Maé?azacéÒléÒk A.è?. (operating as Boyner) is a Turkish retail company known for its textile offerings for women men teenagers and children. It has 68 stores in 29 cities in Turkey and as of 2010 employed around 2800 people.
1,Brownstein Hyatt Farber Schreck, Brownstein Hyatt Farber Schreck LLP is a national law firm based in Denver Colorado United States with 250 attorneys and policy consultants in offices across the western U.S. and in Washington D.C.
1,Centro Digital Pictures Limited, Centro Digital Pictures Limited is a visual special effects and animations company based in Hong Kong that provides visual effects for film interactive media and video games.
1,Niederegger, J. G. Niederegger GmbH & Co. KG is a producer of marzipan and sweets. It is based in L?¨beck Germany.Niederegger was founded by Johann Georg Niederegger on 1 March 1806 in L?¨beck and is since known for their marzipan for about 200 years.
1,The Media Merchants, The Media Merchants Television Company ltd. was an independent television production company specialising in children's programmes run by Neil Buchanan and Tim Edmunds.
1,Stanley Consultants, Stanley Consultants Inc. is an American-based international engineering construction and environmental engineering services company with its headquarters in Muscatine Iowa U.S.A.. Stanley Consultants also has offices in 17 other locations in the U.S. and 10 countries. The company has undertaken projects in over 96 countries.Stanley Consultants began as a small engineering firm in Muscatine Iowa founded by Charles Young in 1913. In 1932 C.
1,Syarikat Bekalan Air Selangor, Syarikat Bekalan Air Selangor Sdn Bhd or SYABAS is a Selangor state government-linked companies which responsible for water supply services in Selangor and the Federal Territory of Kuala Lumpur and Putrajaya. The executive chairman is Tan Sri Rozali Ismail. SYABAS is a member company of the Puncak Niaga Holdings Berhad.
1,Ralph Lauren Corporation, Ralph Lauren Corporation (NYSE: RL is a publicly traded United States-based holding company that through its subsidiaries designs markets and sells high end men's women's and children's apparel accessories fragrances and home furnishings to customers worldwide. Ralph Lauren Corporation traces its roots to the 1967 founding of the Polo Ralph Lauren company by American designer Ralph Lauren. Polo Ralph Lauren is the corporation's flagship brand.
1,Gordon Food Service, Gordon Food Service (GFS) is the largest privately held foodservice distributor in North America with sales of $5.5 billion in 2007 and expected to finish 2012 with over $10 billion. Headquartered in Grand Rapids Michigan[1] GFS has GFS Marketplace stores in the states of Florida Illinois Indiana Kentucky Michigan Ohio Pennsylvania and Tennessee.
1,Kronospan, Kronospan is an international company that manufactures and distributes wood-based panels which are used in many everyday products such as flooring furniture and timber-framed houses.The company manufactures Particleboard (PB) Medium density fibreboard (MDF) Laminate flooring resins for wood-based panels Oriented strand board (OSB).
1,Arriva Buses Wales, Arriva Buses Wales is a bus operator providing services in North Wales and Chester. It is a subsidiary of Arriva.
1,Uptime Institute, Since 1993 Uptime Institute LLC is a consortium of companies that engage in education publications consulting certifications conferences and seminars for the enterprise data center industry and for data center professionals. It is best known for its widely adopted tier certifications of data centers.
1,Anonymizer (company), Anonymizer Inc. is an Internet privacy company founded in 1995 by Lance Cottrell author of the Mixmaster anonymous remailer. Anonymizer was originally named Infonex Internet. The name was changed to Anonymizer in 1997 when the company acquired a web based privacy proxy of the same name developed by Justin Boyan at Carnegie Mellon University School of Computer Science.
1,Namco Networks, Namco Networks America Inc. is a developer and publisher of small-scale games targeting the mobile and casual game markets. The startup company based in San Jose California was strategically acquired by Namco Bandai Holdings and renamed as Namco Networks to serve as its mobile games division.
1,Intafact Beverages Limited, SABMiller made an initial investment of over US$100m in the Onitsha brewery that was commissioned on 30 August 2012.In 2014 a decision was made to invest US$110 million to increase the current annual capacity from 700 000 to 2.1 million hectolitres.The capacity upgrade is due to be completed in 2015.
1,Japi, Japi is a person who plays wow
1,StudentUniverse, StudentUniverse is a technology company that provides students with deals primarily focusing on air fares and lodging. It is one of the two largest discount student travel sellers in the world. Its service went live in 2000 and the company is based in Waltham Massachusetts. It has proprietary verification technology that allows it to verify student status.
1,Banca di Credito Sardo, The Banca di Credito Sardo SpA is an italian bank headquartered in Cagliari Sardinia. It was established in 2009 after the fusion with the Banca CIS (acronym of Credito Industriale Sardo) and the financial group Intesa Sanpaolo.Template:What?The Bank has 1200 employees 116 bank offices and 240000 clients.The head office building located in Cagliari was designed by the italian architect Renzo Piano.
1,A.G. Barr, A.G. Barr plc commonly known as Barr's is a Scottish soft drink manufacturer based in Cumbernauld North Lanarkshire Scotland. It is particularly notable for the manufacture of the popular Scottish drinks Irn-Bru and Rubicon. It is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index.
1,Mittal hospital, Mittal Hospital & Research Centre is a healthcare corporation that operate multi specialist hospitals in Ajmer Rajasthan. It is the largest healthcare provider in Ajmer Division.In April 2012 the hospital capacity will increase to 250 beds and facilities of private ICU super delux private rooms private labour rooms and many more will be available.
1,Ping (golf), PING is an American brand of premium golf equipment as well as one of the largest of the remaining American manufacturers of golf clubs based in Phoenix Arizona founded by Karsten Solheim who was an engineer at the General Electric company. In 1959 he started making his own putters in his garage in Redwood City California. In 1967 because of increasing demand for his putters he resigned his job at General Electric in order to fully develop the PING company.
1,European Association for the Study of the Liver, The European Association for the Study of the Liver (EASL) is a European professional association for liver disease.
1,Synanon, The Synanon organization initially a drug rehabilitation program was founded by Charles E. Chuck Dederich Sr. (1913É??1997) in 1958 in Santa Monica California United States. By the early 1960s Synanon had also become an alternative community attracting people with its emphasis on living a self-examined life as aided by group truth-telling sessions that came to be known as the Synanon Game.
1,Orange County Transportation Authority, The Orange County Transportation Authority (OCTA) is the public sector transportation planning body and mass transit service provider for Orange County California. Its ancestor agencies include not only the prior Orange County Transit District but also such diverse entities as the Pacific Electric Railway and the South Coast Transit Corporation.
1,Wageningen Academic Publishers, Wageningen Academic Publishers is a publishing company in the field of life sciences that publishes scientific journals as well as monographs textbooks and proceedings. The company was founded in 2002 as successor of Wageningen Pers. The company publishes books in the fields of animal food social plant and environmental sciences.
1,Greatist, Greatist is a fitness health and happiness Internet media startup. Founded in 2011 by Derek Flanzraich. Acknowledged for its high-quality content aimed primarily at an 18-35 audience the site now reaches over 4 million unique visitors per month with its traffic driven primarily by social media.
1,Ted Baker, Ted Baker plc is a British clothing retail company. It is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index.
1,Carzonrent, Carzonrent (India) Private Limited (CIPL) is an Indian car rental company with its headquarters in New Delhi India. Carzonrent operates a fleet of over 6500 cars in India covering New Delhi Mumbai Bangalore Hyderabad Ahmedabad Chennai Gurgaon Jaipur Kolkata Noida Pune Ghaziabad and Faridabad.The company was founded by Rajeev K. Vij in year 2000 and caters to over 6000000 customers annually.
1,Grinnell Aeroplane, The Grinnell Aeroplane Company was an American aircraft manufacturer based in Grinnell Iowa that built aircraft prior to World War I.
1,Invictus Games, Invictus Games is an independent Hungarian video game development studio founded in 1992 by Tam?≠s Koz?≠k and ?Åkos Divi?≠nszky. They specialize in racing simulation games like Project Torque Street Legal and Street Legal Racing Redline Insane and onEscapee. Their publishers include Codemasters Activision 1C Gamepot and Joyzone.
1,Ishtar Airlines, Ishtar Airlines (Arabic: ?????¶???Ò ?????Ò?????????˝É??) was an airline based in Dubai United Arab Emirates although it was a private Iraqi airline operating scheduled passenger services its main bases were its only destinations Baghdad International Airport and Dubai International Airport.Ishtar Airlines headquarters was in Deira Dubai United Arab Emirates.
1,Aviones Comerciales de Guatemala (Avcom), Aviones Comerciales de Guatemala (Avcom) is an airline based in Guatemala City Guatemala. It was established in 1929 operates domestic charter services and is associated with TACA. Its main base is La Aurora International Airport Guatemala City.
1,Cherokee Studios, Cherokee Studios was a recording facility in Hollywood founded in 1972 and closed in August 2007 to make way for a new building after 35 years of operation under the Cherokee name as a well-renowned studio. Under the direction of a leading green developer the site will become the Lofts @ Cherokee Studios [1] É?? a Green LEED Platinum Live/Work complex offering professional recording studios in select units designed by Cherokee owner Bruce Robb.
1,ReganBooks, ReganBooks was an American bestselling imprint or division of HarperCollins book publishing house (parent company is News Corporation) headed by editor and publisher Judith Regan started in 1994 and ended in late 2006. During its existence Regan was called by LA Weekly the world's most successful publisher. The division reportedly earned $120 million a year. ReganBooks focused on celebrity authors and controversial topics sometimes from recent tabloids.
1,Novotel, Novotel is a mid-scale hotel brand within the Accor group typically slotting between the Mercure and Sofitel brands. Novotel has close to 400 hotels and resorts in 60 countries situated in the business districts and tourist destinations of major international cities.
1,Bee-Line Bus System, The Bee-Line Bus System branded on the buses in lowercase as the bee-line system is a bus system serving Westchester County New York. The system is owned by the County's Department of Public Works and Transportation. It was founded in May 1 1978 by then-Westchester County Department of Transportation to consolidate the bus system with thirteen private bus companies and has been given control over the buses fare structure routes and services.
1,Uganda Securities Exchange, The Uganda Securities Exchange (USE) is the principal stock exchange of Uganda. It was founded in June 1997. The USE is operated under the jurisdiction of Uganda's Capital Markets Authority which in turn reports to the Bank of Uganda Uganda's central bank.The exchange's doors opened to trading in January 1998. At the time the exchange had just one listing a bond issued by the East African Development Bank.
1,Development Bank of the Philippines, The Development Bank of the Philippines (Filipino: Bangko sa Pagpapaunlad ng Pilipinas Castilian Spanish: Banco de Agricola y Hacienda de Filipinas or Banco de Desarollo de Filipinas) commonly known by its initials DBP is a state-owned development bank with headquarters in Makati Philippines.It is the seventh-largest bank in the Philippines in terms of assets and is the second-largest government-owned bank next only to Landbank.
1,Axis Lines International, Axis Lines International was a start-up airline planned to be based in Douala Cameroon. It was intended to fly regional services with two McDonnell Douglas MD-80 aircraft and international services to Brussels Madrid and Paris with a Boeing 767-300ER.
1,Aegon, Aegon N.V. is a multinational life insurance pensions and asset management company headquartered in The Hague Netherlands. At the end of 2012 Aegon companies employed approximately 24000 people worldwide serving millions of customers.Aegon has a primary listing on Euronext Amsterdam and is a constituent of the AEX index. It has a secondary listing on the New York Stock Exchange.
1,Parliamentary Monitoring Services, Parliamentary Monitoring Services is a United Kingdom-based political research and publishing company. The company researches the activities of the United States Congress European Parliament and the Parliament of the United Kingdom. Consultants to the company have included British politicians Sir Peter Fry and William Howie Baron Howie of Troon.
1,Rossiya Bank, The Rossiya Bank (Bank Rossiya in Russian: ?ê?ß•??????´?Ê•??´•??? ?ß???¨?¨?Ê•?•??Ê•Å?ß???? ?Ò?¯?´?ß ?ˇ??•Å•Å??•è ?ê???? ?ˇ??•Å•Å??•è) is a Russian joint stock bank founded on June 27 1990. The company's headquarters are based in St. Petersburg.
1,Third Wire, Third Wire Productions Inc. (also known simply as Thirdwire or Third Wire) is a C corporation based in Austin Texas USA; it is an independent software development company founded in 1999 to create multimedia entertainment such as flight-simulation and strategy games.
2,Dubai Gem Private School & Nursery, Dubai Gem Private School (DGPS) is a British school located in the Oud Metha area of Dubai United Arab Emirates. Dubai Gem Nursery is located in Jumeirah. Together the institutions enroll almost 1500 students aged 3 to 18.
2,Gateford Park Primary School, Gateford Park Primary School is a community primary school in Worksop Nottinghamshire in England.
2,German Historical Institute in Rome, The German Historical Institute in Rome short DHI Rome is the oldest of the German historical institutes abroad. Its purpose is to conduct research in the history of both Italy and Germany and investigate particularly the German-Italian relations in a wider international context from medieval times to the present day.
2,Holy Savior Menard Central High School, Holy Savior Menard Central High School is the Roman Catholic parochial secondary institution of learning in Alexandria the seat of Rapides Parish and the largest city in central Louisiana. The Menard mission statement accents: (1) Faith Development (2) Academic Excellence and (3) Service. Menard operated by the Roman Catholic Diocese of Alexandria in Louisiana enrolls approximately six hundred students.The school also enrolls non-Catholics.
2,Adarsh English Boarding School, Adarsh English Boarding School is coeducational boarding school in Phulbari a suburb of Pokhara Nepal. Nabaraj Thapa is the founder and chairman of the school. The School motto reads Education For Better Citizen.
2,Kresge College, Kresge College is one of the residential colleges that make up the University of California Santa Cruz. Founded in 1971 Kresge is located on the western edge of the UCSC campus. Kresge is the sixth of ten colleges at UCSC and originally one of the most experimental. The first provost of Kresge Bob Edgar had been strongly influenced by his experience in T-groups run by NTL Institute. He asked a T-group facilitator psychologist Michael Kahn to help him start the college.
2,University of Ulsan, The University of Ulsan (Hangul: ç??ç?¯â??°??àÊê) (UOU) was founded on February 19 1969 as the Ulsan Institute of Technology. The University was promoted to a full-fledged University on March 1 1985. The university is located in Mugeo-dong Ulsan South Korea. The University currently has approximately 10500 students enrolled.The city of Ulsan has been recognized as the Korean city which was built around the corporate base of the multinational Hyundai conglomerate.
2,Yanbu University College, Yanbu University College was established in 2005 in the city of Yanbu Al-Sinaiyah located on the coast of the Red Sea in Madinah Province Saudi Arabia. The college is run under the auspices of the Royal Commission for Jubail and Yanbu. Yanbu University College is a governmental institution (non-profitable institution) offering post-secondary education dedicated to prepare and train a workforce to serve the local industry in the Tihamah region (west coast of Saudi Arabia).
2,University of Windsor, The University of Windsor (U of W or UWindsor) is a public comprehensive and research university in Windsor Ontario Canada. It is Canada's southernmost university. It has a student population of approximately 15000 full-time and part-time undergraduate students and over 1000 graduate students.
2,Thomas Jefferson University, For the unrelated California law school see Thomas Jefferson School of Law.Thomas Jefferson University is a private health sciences university in Center City Philadelphia Pennsylvania in the United States. The university consists of six constituent colleges and schools Jefferson Medical College Jefferson College of Graduate Studies Jefferson School of Health Professions Jefferson School of Nursing Jefferson School of Pharmacy and Jefferson School of Population Health.
2,Kirk Balk Community College, Kirk Balk Community College is a state school in Barnsley South Yorkshire England. It is a technology specialist college which teaches the usual secondary school subjects but also has a wider range of technology lessons such as textiles and construction.
2,Skegness Academy, Skegness Academy is a coeducational secondary school and sixth form with academy status located in Skegness Lincolnshire England.The school was known as The Skegness Earl of Scarbrough High School until 2004 when it was renamed St Clements College. The school converted to academy status in 2010 being one of the first academy schools in England and was renamed Skegness Academy.
2,MacDuffie School, The MacDuffie School is a private day and boarding school for grades 6-12 located in Granby Massachusetts United States. It was founded in 1890 by John and Abigail MacDuffie as an all-girls college preparatory school and remained so until the fall of 1991. Enrollment is around 200 students equally divided between day and boarding students. Steve Griffin sits as the Head of School.
2,Clapton Girls' Academy, Clapton Girls' Academy (formerly Clapton Girls Technology College) is a secondary school with academy status located in Hackney London England. The school is situated north of Hackney town centre on the A102. It is a few hundred metres west of Homerton University Hospital. It lies in the parish of St James Clapton.
2,University of Patras, University of Patras (Greek: ?ˇ?Ò?´?Ê?????ü?????¨???® ?ˇ?Ò???Å???´ Panepist??mio Patr??n) is a university established in 1964 in Patras Greece. Initially housed in the city centre the university's campus is now located in the adjacent municipality of Rio. Covering an area of 4.5 km?˝ it is one of the largest in the country.
2,Murfreesboro High School, Murfreesboro High School is an accredited comprehensive public high school serving students in grades six through twelve in the rural community of Murfreesboro Arkansas United States. It is one of three public high schools in Pike County. With more than 200 students it is the sole high school of the South Pike County School District.
